Time (seconds),Turbidity Level,Water Level
0.0016112327575683594,1635,70
0.10291171073913574,1635,71
0.20539474487304688,1635,71
0.30720996856689453,1635,71
0.4094116687774658,1635,71
0.5100319385528564,1636,70
0.6116132736206055,1637,72
0.7136788368225098,1638,71
1.1186954975128174,1637,71
1.4212090969085693,1636,70
1.8392014503479004,1637,71
2.142822027206421,1637,71
2.5453150272369385,1637,71
2.8475983142852783,1637,69
3.2519659996032715,1635,69
3.6559040546417236,1635,69
4.1610939502716064,1637,69
4.564405679702759,1637,71
5.0692949295043945,1636,69
5.471993684768677,1637,70
5.974991083145142,1637,69
6.377995491027832,1636,69
6.881810903549194,1635,69
7.284532308578491,1635,69
7.6870996952056885,1634,69
8.190401554107666,1631,67
8.59434723854065,1630,67
8.996949672698975,1635,69
9.400402545928955,1635,70
9.702066659927368,1630,68
10.105741024017334,1631,69
10.407963514328003,1631,71
10.809064865112305,1634,63
11.213265180587769,1633,68
11.515421867370605,1635,62
11.91725206375122,1633,63
12.220724821090698,1633,69
12.624774932861328,1633,72
13.126880645751953,1634,67
13.531159162521362,1635,59
14.03335690498352,1634,67
14.437687158584595,1635,69
14.94171690940857,1635,63
15.344602108001709,1635,63
15.849165439605713,1635,62
16.254147052764893,1635,68
16.76250386238098,1631,67
17.16500687599182,1630,53
17.66830348968506,1631,53
18.07151222229004,1634,54
18.47483229637146,1631,62
18.978445529937744,1634,59
19.380826950073242,1633,70
19.884001970291138,1631,59
20.287052392959595,1633,69
20.791080951690674,1635,59
21.19459867477417,1635,74
21.697548389434814,1635,57
22.101580142974854,1634,63
22.604925394058228,1635,73
23.008788347244263,1636,75
23.430083751678467,1635,69
23.934985160827637,1635,78
24.341345071792603,1635,61
24.84559440612793,1636,67
25.25020408630371,1635,59
25.754125118255615,1635,57
26.157945156097412,1633,62
26.667407751083374,1633,51
27.070354223251343,1631,63
27.474116563796997,1627,67
27.97976589202881,1631,73
28.3825900554657,1637,63
28.88747787475586,1636,57
29.29179358482361,1633,71
29.79620599746704,1631,73
30.200332164764404,1635,68
30.70500373840332,1637,63
31.10753846168518,1635,61
31.61230230331421,1637,73
32.014952182769775,1637,63
32.42445921897888,1639,67
32.92863464355469,1635,48
33.33249616622925,1631,62
33.83662295341492,1629,63
34.23933029174805,1627,71
34.74509406089783,1629,62
35.14944124221802,1629,55
35.654396533966064,1629,63
36.05670738220215,1637,47
36.560713052749634,1627,67
36.964391469955444,1628,154
37.46957969665527,1627,188
37.87238550186157,1625,171
38.275933504104614,1626,174
38.77870988845825,1629,164
39.1832971572876,1627,157
39.68561506271362,1623,163
40.088460206985474,1623,215
40.59257411956787,1627,201
40.99735975265503,1624,213
41.5013153553009,1613,214
41.930853605270386,1611,213
42.333056688308716,1615,205
42.83683633804321,1622,209
43.24252367019653,1615,211
43.745537996292114,1615,219
44.14919877052307,1619,226
44.65269923210144,1613,230
45.054840326309204,1611,223
45.55791187286377,1609,217
45.9602792263031,1611,223
46.46453046798706,1609,216
46.868879318237305,1599,219
47.272987365722656,1599,227
47.77673411369324,1583,239
48.17882537841797,1605,227
48.68323993682861,1547,221
49.086814880371094,1611,227
49.59086728096008,1559,227
49.99335861206055,1599,229
50.49789524078369,1573,231
50.903005599975586,1547,233
51.4062397480011,1592,223
51.809070348739624,1581,239
52.313528299331665,1589,237
52.71580791473389,1571,240
53.220386266708374,1256,234
53.62297797203064,1401,221
54.02751636505127,1407,235
54.532522678375244,1404,235
54.938390493392944,1404,227
55.442190647125244,1398,237
55.84635925292969,1397,244
56.351627588272095,1395,246
56.754666566848755,1395,247
57.259105920791626,1391,249
57.66194534301758,1389,256
58.165297508239746,1389,245
58.56801390647888,1385,247
58.97150897979736,1385,250
59.51233959197998,1384,292
59.91710424423218,1383,261
60.42103385925293,1381,280
60.825425148010254,1380,271
61.227078914642334,1375,377
61.73350405693054,1369,326
62.137086629867554,1369,249
62.64100503921509,1367,248
63.0460147857666,1356,247
63.55000615119934,1351,266
63.95226526260376,1335,357
64.45865941047668,1115,266
64.86363172531128,871,267
65.36619710922241,743,267
65.76941180229187,1652,269
66.17280602455139,1576,263
66.67702007293701,1549,303
67.0807056427002,1515,269
67.58340549468994,1543,279
67.98717331886292,1525,283
68.489741563797,1525,293
68.89397931098938,1525,292
69.39705514907837,1498,313
69.80100679397583,1467,283
70.3038821220398,1479,328
70.7085690498352,1479,283
71.21248769760132,1514,293
71.61672568321228,1529,270
72.12143397331238,1541,319
72.52323889732361,1531,293
72.9277491569519,1513,287
73.43210339546204,1511,317
73.83470678329468,1495,298
74.3386549949646,1485,355
74.74210953712463,1527,344
75.24585843086243,1531,345
75.64999961853027,1516,443
76.15306615829468,1507,333
76.55683588981628,1505,637
77.06243848800659,1511,357
77.46616291999817,1513,374
77.969402551651,1527,421
78.32609605789185,1528,364
78.83162498474121,1549,397
79.23441958427429,1531,391
79.7382333278656,1467,355
80.14185571670532,1515,347
80.6460313796997,1501,351
81.04870796203613,1531,349
81.55319476127625,1525,343
81.95875072479248,1515,377
82.46453809738159,1511,396
82.86886692047119,1517,505
83.27272605895996,1529,384
83.77611351013184,1544,396
84.17919158935547,751,434
84.68241763114929,1357,396
85.08613204956055,1359,507
85.58939504623413,1357,563
85.99269556999207,1355,496
86.49624943733215,1353,483
86.90062928199768,1355,457
87.40374612808228,1353,425
87.8084454536438,1355,555
88.31688928604126,1353,461
88.71967244148254,1353,452
89.12382936477661,1351,424
89.62847304344177,1353,423
90.03218603134155,1352,431
90.53665280342102,1353,428
90.94072031974792,1351,427
91.44328117370605,1351,421
91.84851050376892,1343,447
92.3518795967102,1341,587
