Time (seconds),Turbidity Level,Water Level
0.007888555526733398,1725,0
0.12384700775146484,1727,0
0.23485159873962402,1727,0
0.3454325199127197,1725,0
0.45387959480285645,1726,0
0.5616567134857178,1727,0
0.6721920967102051,1727,0
0.784196138381958,1727,0
1.0039336681365967,1728,0
1.333122968673706,1727,0
1.6611418724060059,1726,0
2.0992510318756104,1725,0
2.4286839962005615,1723,0
2.756953239440918,1725,0
3.087013006210327,1724,0
3.5272023677825928,1726,0
3.856161117553711,1724,0
4.187269926071167,1727,0
4.519932508468628,1725,0
4.957287073135376,1724,0
5.285247087478638,1724,0
5.617211103439331,1725,0
6.057086706161499,1724,0
6.385056018829346,1724,0
6.718177795410156,1725,0
7.045090198516846,1725,0
7.483348369598389,1725,0
7.813167333602905,1725,0
8.142673015594482,1724,0
8.580529928207397,1724,0
8.909765720367432,1725,0
9.242867469787598,1725,0
9.570478200912476,1725,0
10.010932683944702,1723,0
10.343539476394653,1724,0
10.782097578048706,1724,0
11.221383094787598,1725,0
11.659999370574951,1726,0
12.09790325164795,1725,0
12.538248300552368,1724,0
12.978013515472412,1723,0
13.415937900543213,1724,0
13.85518217086792,1724,0
14.293238639831543,1722,0
14.735029220581055,1723,0
15.172749042510986,1723,0
15.71634292602539,1725,0
16.156342267990112,1723,0
16.59620952606201,1721,0
17.033227682113647,1723,0
17.471712350845337,1724,0
17.909600734710693,1725,0
18.349547147750854,1725,0
18.78852605819702,1723,0
19.229108810424805,1725,0
19.779892444610596,1725,0
20.218798875808716,1723,0
20.654762506484985,1724,0
21.091923713684082,1724,0
21.534759759902954,1722,0
21.973755836486816,1725,0
22.418235540390015,1726,0
22.85938310623169,1727,0
23.293124675750732,1725,0
23.732131242752075,1723,0
24.172343254089355,1721,0
24.719063997268677,1717,0
25.15660285949707,1711,0
25.599332809448242,1710,0
26.037503004074097,1708,0
26.473716974258423,1709,0
26.91207003593445,1710,0
27.353720664978027,1709,0
27.790586948394775,1717,0
28.22848105430603,1242,0
28.778850078582764,1516,0
29.21658992767334,1100,0
29.652074575424194,1395,0
30.08816695213318,2296,0
30.525993824005127,2265,0
30.963201999664307,2077,0
31.403543710708618,2058,0
31.83891201019287,1995,0
32.27836990356445,2069,0
32.82891583442688,2069,0
33.26950550079346,2079,0
33.70843839645386,2040,0
34.14744782447815,2066,23
34.589120626449585,2069,1
35.029738664627075,2067,5
35.47087645530701,2066,47
35.90510869026184,2059,93
36.342148780822754,2065,61
36.780917167663574,2075,94
37.32870435714722,2072,109
37.76949095726013,2078,59
38.21126675605774,2084,166
38.655611515045166,2076,87
39.09746837615967,2080,125
39.53652048110962,2077,155
39.97641205787659,2073,188
40.41944742202759,2071,182
40.86339592933655,2073,215
41.305527448654175,2056,294
41.748170614242554,2077,266
42.18715286254883,2076,247
42.63167667388916,2078,247
43.07685208320618,2073,338
43.62862467765808,2069,275
44.07420873641968,2076,255
44.519346952438354,2072,335
44.96330499649048,2074,371
45.404300928115845,2024,431
45.73585915565491,2069,429
46.06952714920044,2072,415
46.50885796546936,2078,327
46.840622663497925,2069,311
47.17118048667908,2103,315
47.501513957977295,1397,310
47.94403672218323,1721,297
48.271140813827515,1737,302
48.60022568702698,1741,313
49.040152072906494,1747,304
49.3709876537323,1747,311
49.696946144104004,1749,285
50.029622077941895,1749,285
50.46980094909668,1743,279
50.79774618148804,1743,271
51.128042221069336,1739,275
51.45802712440491,1741,264
51.89630842208862,1740,255
52.22567701339722,1739,247
52.559107303619385,1737,252
52.996469020843506,1737,246
53.326117753982544,1738,247
53.65784549713135,1739,249
