Time (seconds),Turbidity Level,Water Level
0.002000093460083008,1337,0
0.10471820831298828,1337,0
0.20651960372924805,1339,0
0.30902624130249023,1337,0
0.41106390953063965,1337,0
0.5126791000366211,1337,0
0.6151220798492432,1337,0
0.919182538986206,1337,0
1.2223210334777832,1339,0
1.625626564025879,1338,0
2.0293896198272705,1336,0
2.3316640853881836,1337,0
2.734985589981079,1337,0
3.037248134613037,1335,0
3.4399404525756836,1337,0
3.7420523166656494,1337,0
4.145435810089111,1336,0
4.548275947570801,1337,0
4.851777076721191,1337,0
5.255940198898315,1335,0
5.6602137088775635,1336,0
6.1647443771362305,1335,0
6.568190336227417,1336,0
6.971082925796509,1336,0
7.475153923034668,1336,0
7.877346038818359,1337,0
8.381820440292358,1336,0
8.784569263458252,1337,0
9.288657903671265,1335,0
9.692123889923096,1335,0
10.198513984680176,1335,0
10.602056980133057,1335,0
11.107494115829468,1335,0
11.510205745697021,1335,0
12.014526605606079,1337,0
12.418734312057495,1336,0
12.821288585662842,1335,0
13.324737548828125,1337,0
13.730828762054443,1336,0
14.234745025634766,1334,0
14.638208389282227,1333,0
15.142680644989014,1334,0
15.546168088912964,1331,0
16.04963779449463,1327,0
16.451931715011597,1335,0
16.957231283187866,1335,0
17.359949827194214,1326,0
17.862807750701904,1312,0
18.266958236694336,1320,0
18.668904066085815,1318,0
19.171791553497314,1309,0
19.575841665267944,1312,0
20.07923674583435,1320,0
20.481334924697876,1320,0
20.98523712158203,1305,0
21.38831090927124,1305,0
21.89034104347229,1290,0
22.29289984703064,1287,0
22.797316551208496,1279,0
23.199400901794434,1264,0
23.703826904296875,1291,0
24.107795238494873,1323,0
24.612162828445435,1292,0
25.01522135734558,1291,0
25.520244359970093,1309,33
25.936859369277954,1309,13
26.339648723602295,1307,75
26.84432578086853,1319,62
27.24616289138794,1323,71
27.749977111816406,1315,79
28.152830600738525,1319,75
28.656678915023804,1323,79
29.061198711395264,1322,76
29.564465761184692,1325,62
29.96811866760254,1323,76
30.37383723258972,1317,78
30.877581357955933,1307,69
31.28073740005493,1286,87
31.78305220603943,1335,91
32.187150716781616,1305,88
32.69172430038452,1339,85
33.09433603286743,1365,86
33.60769510269165,1340,88
34.01051330566406,875,89
34.51470422744751,1243,92
34.91830253601074,1251,89
35.32248830795288,1245,89
35.82725501060486,1247,88
36.230632305145264,1247,79
36.73433446884155,1246,89
37.1379292011261,1246,91
37.64189958572388,1246,87
38.04397773742676,1244,89
38.547677516937256,1246,91
38.95131778717041,1244,82
39.45463252067566,1245,93
39.85827875137329,1244,89
40.36201882362366,1243,89
40.76596188545227,1243,90
41.2683584690094,1243,87
41.671159744262695,1243,99
42.07565522193909,1243,99
42.580501556396484,1241,91
42.984076499938965,1237,87
43.48864531517029,1235,88
43.891456842422485,1231,99
44.39506387710571,1228,103
44.79935693740845,1225,103
45.30290699005127,1223,91
45.70607805252075,1216,96
46.209747076034546,1221,103
46.61151456832886,1215,92
47.11657094955444,1211,107
47.518587827682495,1210,99
47.92202806472778,1179,93
48.42609214782715,933,104
48.82913827896118,829,101
49.3318076133728,711,103
49.7357439994812,1303,100
50.23844289779663,1510,99
50.64212417602539,1445,101
51.145390033721924,1434,95
51.54696464538574,1428,104
52.049883127212524,1436,103
52.45508599281311,1398,93
52.95874571800232,1429,104
53.3781943321228,1433,111
53.78257346153259,1425,106
54.287323236465454,1432,105
54.69061040878296,1427,98
55.195539712905884,1443,111
55.59847044944763,1439,104
56.10352182388306,1439,105
56.50725769996643,1427,105
57.01005458831787,1417,103
57.41318202018738,1431,108
57.91697716712952,1429,107
58.31990194320679,1428,119
58.72469687461853,1425,115
59.22773504257202,1431,111
59.63089203834534,1431,110
60.13347601890564,1423,111
60.537994384765625,1421,105
61.041489601135254,1429,117
61.443283557891846,1432,112
61.95404410362244,1430,109
62.358356952667236,1425,116
62.86076021194458,1427,115
63.264641523361206,1430,117
63.768303632736206,1423,109
64.17210388183594,1431,115
64.57570838928223,1423,119
65.08077549934387,1429,112
65.48416781425476,1429,120
65.98715591430664,1433,123
66.3900134563446,1395,121
66.89387512207031,1429,126
67.29774951934814,1427,111
67.80162763595581,1432,120
68.20499753952026,1426,120
68.70767259597778,1419,127
69.11212730407715,1437,121
69.61754870414734,1427,121
70.02061939239502,1448,121
70.42377161979675,1427,122
70.92694759368896,821,123
71.33107018470764,1237,121
71.835764169693,1237,123
72.23846912384033,1237,121
72.7421875,1238,133
73.14533185958862,1239,127
73.64796710014343,1242,135
74.05217552185059,1244,139
74.55585861206055,1243,134
74.95926880836487,1243,135
75.4628233909607,1242,139
75.8662211894989,1241,143
76.26815009117126,1240,139
76.77248048782349,1240,139
77.17693901062012,1241,141
77.68058109283447,1240,139
78.08256506919861,1239,147
78.58675146102905,1237,141
78.98998498916626,1230,173
79.49468946456909,1229,143
79.89773082733154,1228,151
80.40038537979126,1227,155
80.80382490158081,1224,149
81.30829668045044,1222,147
81.71250891685486,1224,149
82.21645665168762,1236,149
82.61989331245422,1221,151
83.02341318130493,997,147
83.52724051475525,779,147
83.93049883842468,799,149
84.43302035331726,1381,154
84.83620047569275,1493,148
85.34069204330444,1483,155
85.74406313896179,1479,151
86.24899125099182,1471,159
86.65261483192444,1480,159
87.15678286552429,1465,159
87.55958294868469,1467,156
88.06331849098206,1471,158
88.46683311462402,1480,157
88.87023878097534,1481,159
89.37420892715454,1481,160
89.77670669555664,1481,165
90.27962470054626,1479,163
90.68446063995361,1471,165
91.19101524353027,1469,165
91.5926296710968,1449,167
92.09640669822693,1469,158
92.49999332427979,1471,168
93.00393033027649,1481,171
93.4082932472229,1477,176
93.91242480278015,1479,181
94.31722116470337,1479,178
94.7209095954895,1477,175
95.22513246536255,1483,180
95.62842154502869,1480,180
96.13195466995239,1477,183
96.5352852344513,1481,179
97.03944945335388,1467,178
97.44192790985107,1463,187
97.94581198692322,1481,183
98.34960985183716,1484,183
98.85336327552795,1483,181
99.25739932060242,1482,191
99.7621340751648,1480,189
100.16456294059753,1481,199
100.56961059570312,1471,190
101.07438325881958,1485,196
101.47947525978088,1115,196
101.98220634460449,1235,198
102.38647866249084,1237,199
102.88992357254028,1236,203
103.2919442653656,1235,205
103.79686498641968,1235,210
104.19977807998657,1237,217
104.70262670516968,1235,221
105.10759043693542,1235,231
105.61104202270508,1231,228
106.014568567276,1231,230
106.51845264434814,1229,233
106.92244410514832,1230,239
107.32593584060669,1230,243
107.82957816123962,1227,240
108.23269176483154,1229,245
108.73708152770996,1231,233
109.1395971775055,1227,247
109.64331126213074,1225,254
110.04783916473389,1221,271
110.55200552940369,1225,275
110.95560956001282,1227,277
111.45853924751282,1229,279
111.86137342453003,1234,279
112.36539506912231,1179,283
112.76880240440369,889,283
113.17189049720764,888,279
113.67738938331604,1051,281
114.07995676994324,1581,280
114.58333969116211,1514,283
114.98648929595947,1517,291
115.4942421913147,1512,286
115.89796471595764,1511,282
116.34818601608276,1497,292
116.8518693447113,1502,297
117.25753474235535,1502,301
117.76197075843811,1503,302
118.16424536705017,1513,301
118.56923627853394,1513,345
119.07317852973938,1513,393
119.47676610946655,1511,350
119.98001742362976,1510,379
120.38265895843506,1512,380
120.88748598098755,1510,405
121.29096293449402,1515,377
121.79280138015747,1510,423
122.19744968414307,1497,405
122.70056700706482,1501,389
123.10429310798645,1511,381
123.6092164516449,1507,391
124.01235127449036,1507,376
124.51592421531677,1500,366
124.91980719566345,1501,359
125.3219223022461,1507,363
125.82521057128906,1499,367
126.22818326950073,1513,372
126.73153614997864,1507,377
127.13502168655396,1516,399
127.63882422447205,1500,422
128.04165148735046,1509,398
128.54574298858643,1513,416
128.94918417930603,1501,406
129.45464181900024,1263,440
129.85742211341858,1261,484
130.36177015304565,1263,452
130.76491475105286,1259,455
131.16755557060242,1259,460
131.67170429229736,1260,439
132.07500171661377,1259,431
132.5790581703186,1258,463
132.98101544380188,1260,467
133.48590183258057,1260,469
133.88932967185974,1260,552
134.3929305076599,1260,495
134.79623293876648,1258,489
135.29787921905518,1257,499
135.70189547538757,1257,504
136.20635271072388,1255,488
136.60910940170288,1253,525
137.1123640537262,1255,509
137.51548981666565,1255,588
137.91906189918518,1253,580
138.422513961792,1253,596
138.82563495635986,1245,606
139.3292224407196,1244,598
139.63222527503967,1205,765
140.0354881286621,915,739
140.33782696723938,791,735
140.74097156524658,978,747
141.04308819770813,1614,748
141.44625282287598,1545,741
141.85076761245728,1523,749
142.1534059047699,1529,751
142.65844202041626,1516,747
142.86055874824524,1525,761
143.2638726234436,1523,760
143.5663983821869,1527,766
143.96982097625732,1528,773
144.37219429016113,1528,761
144.67574000358582,1513,759
145.0791211128235,1520,751
145.38163781166077,1519,748
145.7841522693634,1525,756
146.1895773410797,1520,752
146.49230694770813,1523,760
146.8953080177307,1525,751
147.19774889945984,1519,759
147.60127973556519,1524,755
147.90333485603333,1518,749
148.30784583091736,1527,741
148.60990405082703,1520,733
149.01331067085266,1523,732
149.41716980934143,1518,728
149.7193944454193,1528,730
150.1229407787323,1505,723
150.42644453048706,1515,729
150.8293001651764,1525,727
151.13305115699768,1523,717
151.537100315094,1519,710
151.84044480323792,1516,715
152.24227929115295,1520,718
152.64488554000854,1525,725
152.94795894622803,1519,715
153.35248446464539,1513,711
153.65430569648743,1519,711
154.05716013908386,1513,703
154.35898995399475,1527,701
154.76291918754578,1523,717
155.1659107208252,1517,709
155.46764850616455,1527,703
155.87210416793823,1528,701
156.17493724822998,688,697
156.5791518688202,1259,698
156.8822021484375,1264,695
157.28448295593262,1264,691
157.68857645988464,1263,681
157.99079132080078,1263,688
158.392657995224,1264,683
158.6959090232849,1263,683
159.09885668754578,1265,671
159.40119886398315,1263,678
159.80401992797852,1263,660
160.20749878883362,1268,647
160.5095841884613,1267,655
160.91368293762207,1267,647
161.2168402671814,1262,652
161.62017726898193,1263,637
161.923663854599,1263,635
162.32912278175354,1263,631
162.7320306301117,1263,637
163.0359537601471,1263,635
163.4388129711151,1263,590
163.74234533309937,45,104
164.14456009864807,1257,604
164.44931864738464,1255,587
164.85177993774414,1255,596
165.25535416603088,1254,607
165.5583758354187,1253,599
165.9608211517334,1253,589
166.26544785499573,1251,589
166.66869926452637,1252,595
166.97113728523254,1243,584
167.3748002052307,1000,597
167.6771228313446,813,595
168.07982516288757,703,595
168.4836413860321,1645,599
168.78581762313843,1563,584
169.18849062919617,1547,589
169.49079656600952,1541,576
169.89558267593384,1523,583
170.19722938537598,1543,595
170.60208082199097,1543,590
171.0094792842865,1544,587
171.3128137588501,1543,593
171.71717047691345,1545,593
172.02095937728882,1541,595
172.42294812202454,1546,591
172.72590136528015,1530,595
173.12840747833252,1534,589
173.53135633468628,1535,586
173.83528995513916,1543,568
174.23802757263184,1544,567
174.54017639160156,1544,579
174.9453091621399,1543,568
175.24667501449585,1543,572
175.65010595321655,1533,570
176.05376505851746,1541,573
176.356586933136,1541,556
176.75953888893127,1541,573
177.0616466999054,1545,566
177.46445298194885,1545,571
177.76730370521545,1541,569
178.16889023780823,1545,570
178.57287096977234,1534,566
178.87557911872864,1543,566
179.27854681015015,1544,553
179.58104991912842,1545,557
179.98410058021545,1543,549
180.28734874725342,1545,543
180.6908576488495,1541,551
181.09485387802124,1531,541
181.39710688591003,1543,543
181.80084085464478,1541,537
182.10441780090332,1531,537
182.5084743499756,1533,536
182.81183981895447,1523,534
183.21605253219604,1533,533
183.5197343826294,1542,532
183.9223666191101,1543,526
184.32453227043152,828,519
184.62780666351318,1257,519
185.03062868118286,1263,506
185.33335614204407,1263,503
185.7363440990448,1257,500
186.0392620563507,1262,495
186.44129252433777,1260,495
186.84547877311707,1259,493
187.14793062210083,1259,490
187.5520589351654,1257,484
187.85510396957397,1257,488
188.25837779045105,1255,443
188.56128644943237,1253,445
188.9638376235962,1251,457
189.36843848228455,1253,454
189.6720097064972,1251,455
190.07516479492188,1251,455
190.3783414363861,1252,451
190.7801079750061,1253,460
191.08251881599426,1253,447
191.4857656955719,1253,457
191.88942456245422,1253,429
192.19266533851624,1254,429
192.5961983203888,1255,440
192.8983654975891,1253,447
193.30149149894714,1253,455
193.6037402153015,1253,459
194.00668931007385,1253,455
194.41058897972107,1251,451
194.71391463279724,1247,460
195.11713099479675,1242,462
195.4203028678894,1239,462
195.82210183143616,999,442
196.12630224227905,875,440
196.5293333530426,952,452
196.93275570869446,1660,453
197.23494744300842,1591,459
197.6374762058258,1555,459
197.94154620170593,1547,458
198.34509778022766,1545,459
198.6477029323578,1531,458
199.05031728744507,1549,458
199.4532868862152,1548,459
199.75616097450256,1546,466
200.1595208644867,1546,461
200.46130657196045,1546,461
200.86533093452454,1549,456
201.16832304000854,1547,456
201.57065153121948,1545,455
201.97561812400818,1531,457
202.27799916267395,1545,457
202.68084955215454,1543,455
202.9833927154541,1532,457
203.38521790504456,1551,447
203.68803071975708,1545,443
204.091073513031,1547,453
204.49560594558716,1549,453
204.7989799976349,1545,448
205.20213747024536,1545,436
205.50484466552734,1549,438
205.90766501426697,1548,437
206.21201133728027,1546,439
206.61431241035461,1544,439
206.91747188568115,1545,437
207.32058691978455,1543,436
207.72382283210754,1542,437
208.02723789215088,1543,439
208.4304976463318,1545,436
208.7326202392578,1545,436
209.1356074810028,1545,423
209.4391164779663,1547,377
209.84114265441895,1542,324
210.24386548995972,1530,397
210.54775881767273,1548,331
210.95089435577393,1544,395
211.25347065925598,1543,366
211.6569631099701,1543,365
211.960045337677,1541,397
212.36258220672607,1531,339
212.76842093467712,1533,378
213.07160639762878,1544,378
213.4754536151886,1421,349
213.77874374389648,1268,393
214.18193316459656,1277,383
214.48529148101807,1275,376
214.88815999031067,1271,389
215.2911891937256,1263,381
215.59492754936218,1266,334
215.99682569503784,1262,345
216.30037140846252,1260,335
216.70228481292725,1257,377
217.00569319725037,1258,357
217.4091136455536,1260,319
217.81266975402832,1261,314
218.11555075645447,1260,327
218.51877331733704,1261,357
218.82052731513977,1263,361
219.22351145744324,1263,389
219.52741646766663,1267,373
219.9313530921936,1267,356
220.33285212516785,1267,335
220.63677954673767,1264,318
221.04002213478088,1264,327
221.34222269058228,1260,326
221.74536418914795,1256,339
222.0478048324585,1258,341
222.45009350776672,1257,291
222.855042219162,1256,355
223.15748167037964,1258,365
223.5613148212433,1259,285
223.86288928985596,1255,359
224.26657891273499,1252,347
224.56985187530518,1247,286
224.97242546081543,1241,350
